Open,High,Low,Close,Adj Close,Volume,Date
17.814,17.911,17.668,17.668,15.274,335606,2019-01-02
17.668,18.008,17.522,17.619,15.232,3016539,2019-01-03
17.522,17.57,17.327,17.424,15.064,687393,2019-01-04
17.522,17.96,17.522,17.522,15.148,464404,2019-01-07
17.619,17.814,17.57,17.814,15.4,335321,2019-01-08
17.911,18.008,17.814,17.814,15.4,361474,2019-01-09
17.96,18.008,17.814,17.862,15.442,485790,2019-01-10
17.814,17.96,17.716,17.911,15.484,939599,2019-01-11
18.057,18.884,18.057,18.738,16.2,2618478,2019-01-14
18.641,19.469,18.641,19.031,16.452,2770083,2019-01-15
18.982,19.469,18.836,18.884,16.326,750990,2019-01-16
18.836,18.933,18.495,18.592,16.073,716318,2019-01-17
18.592,18.982,18.592,18.933,16.368,614417,2019-01-18
18.933,19.079,18.787,18.836,16.284,355825,2019-01-21
18.884,18.884,18.592,18.787,16.242,405320,2019-01-22
18.69,18.884,18.544,18.884,16.326,478818,2019-01-23
18.933,18.982,18.836,18.836,16.284,373225,2019-01-24
18.836,18.933,18.69,18.69,16.158,588021,2019-01-25
18.787,19.031,18.69,18.69,16.158,1355982,2019-01-28
18.69,18.738,18.495,18.495,15.989,438987,2019-01-29
18.495,18.641,18.446,18.446,15.947,441682,2019-01-30
18.495,18.738,18.495,18.641,16.115,627508,2019-02-11
18.738,18.738,18.592,18.592,16.073,554088,2019-02-12
18.69,18.787,18.446,18.738,16.2,1068421,2019-02-13
18.738,18.982,18.738,18.836,16.284,610227,2019-02-14
18.836,18.933,18.69,18.738,16.2,722156,2019-02-15
18.884,18.933,18.69,18.787,16.242,538986,2019-02-18
18.836,18.884,18.787,18.836,16.284,1043660,2019-02-19
18.933,19.274,18.933,19.274,16.662,2681261,2019-02-20
19.371,19.371,18.738,18.884,16.326,2151971,2019-02-21
18.641,18.884,18.544,18.592,16.073,1519524,2019-02-22
18.69,18.69,18.057,18.057,15.611,2442120,2019-02-25
18.057,18.349,18.057,18.154,15.695,1125305,2019-02-26
18.203,18.836,18.203,18.3,15.821,2573495,2019-02-27
18.446,18.446,18.106,18.252,15.779,1297766,2019-03-04
18.252,18.252,18.008,18.008,15.568,1089834,2019-03-05
18.252,18.495,18.057,18.154,15.695,1973053,2019-03-06
18.154,18.3,18.106,18.106,15.653,1097209,2019-03-07
18.106,18.203,18.057,18.106,15.653,1027958,2019-03-08
18.106,18.154,17.96,18.106,15.653,997485,2019-03-11
18.133,18.182,17.987,18.182,15.718,919768,2019-03-12
18.182,18.231,18.084,18.182,15.718,602542,2019-03-13
18.133,18.474,18.036,18.133,15.676,2122545,2019-03-14
18.279,18.279,18.084,18.133,15.676,781547,2019-03-15
18.231,18.231,17.987,18.084,15.634,715868,2019-03-18
18.036,19.108,18.036,18.913,16.35,6333594,2019-03-19
19.01,19.01,18.474,18.572,16.056,1780947,2019-03-20
18.669,18.767,18.474,18.523,16.013,1045583,2019-03-21
18.572,18.621,18.328,18.328,15.845,1069464,2019-03-22
18.182,18.328,18.036,18.133,15.676,773299,2019-03-25
18.182,18.279,18.084,18.231,15.761,526556,2019-03-26
18.328,18.328,18.133,18.231,15.761,540468,2019-03-27
18.182,18.474,18.084,18.133,15.676,1044001,2019-03-28
18.133,18.279,18.084,18.133,15.676,761685,2019-03-29
18.084,18.231,18.036,18.133,15.676,696999,2019-04-01
18.231,18.231,18.084,18.133,15.676,682579,2019-04-02
18.133,18.231,18.084,18.084,15.634,770636,2019-04-03
18.133,18.426,18.133,18.231,15.761,1323136,2019-04-08
18.328,18.377,18.133,18.133,15.676,1199067,2019-04-09
18.133,18.231,18.133,18.182,15.718,858943,2019-04-10
18.279,18.377,18.133,18.133,15.676,2016244,2019-04-11
18.133,18.279,18.133,18.182,15.718,540304,2019-04-12
18.279,18.279,18.133,18.133,15.676,783809,2019-04-15
18.133,18.182,18.084,18.133,15.676,939308,2019-04-16
18.231,18.523,18.231,18.523,16.013,2454187,2019-04-17
18.669,18.864,18.328,18.328,15.845,2544777,2019-04-18
18.474,18.523,18.328,18.377,15.887,740844,2019-04-19
18.426,18.572,18.279,18.279,15.803,1313274,2019-04-22
18.231,18.279,18.133,18.231,15.761,807045,2019-04-23
18.231,18.426,18.182,18.182,15.718,616973,2019-04-24
18.182,18.426,18.182,18.231,15.761,748252,2019-04-25
18.182,18.328,18.133,18.182,15.718,1491764,2019-04-26
18.279,18.474,18.182,18.231,15.761,1076133,2019-04-29
18.279,18.328,18.231,18.279,15.803,673411,2019-04-30
18.182,18.279,18.084,18.084,15.634,1045486,2019-05-02
18.084,18.572,18.036,18.523,16.013,3721260,2019-05-03
18.279,19.644,18.279,19.4,16.772,9884361,2019-05-06
19.595,20.278,19.595,19.742,17.067,7659543,2019-05-07
19.157,19.79,19.157,19.449,16.814,2659570,2019-05-08
19.498,20.18,19.449,19.693,17.025,4534107,2019-05-09
19.937,20.083,18.767,18.815,16.266,4329409,2019-05-10
18.621,19.059,18.084,18.182,15.718,3063413,2019-05-13
18.084,18.718,18.036,18.621,16.098,2032909,2019-05-14
18.621,18.767,18.426,18.523,16.013,1187583,2019-05-15
18.523,18.815,18.426,18.426,15.929,1136843,2019-05-16
18.669,18.669,18.133,18.133,15.676,1247695,2019-05-17
18.231,18.328,18.084,18.231,15.761,751044,2019-05-20
