Open,High,Low,Close,Volume,Date
39.1,39.85,38.85,39.45,8142000,2023-06-26
39.6,40.95,38.6,38.95,12990000,2023-06-27
39.35,39.35,38.3,38.45,3287000,2023-06-28
38.45,38.65,38.3,38.3,2118000,2023-06-29
38.3,38.35,38.0,38.35,1908000,2023-06-30
38.6,38.6,38.25,38.45,1464000,2023-07-03
38.75,39.2,38.5,38.85,2026000,2023-07-04
39.35,39.55,38.9,39.1,3304000,2023-07-05
39.0,39.65,39.0,39.45,3279000,2023-07-06
39.6,39.7,38.75,39.2,2638000,2023-07-07
39.35,41.0,39.35,40.95,10870000,2023-07-10
40.5,40.5,39.15,39.15,9119000,2023-07-11
39.25,39.25,38.4,38.5,3749000,2023-07-12
38.8,38.95,38.25,38.35,2790000,2023-07-13
38.5,39.1,38.4,38.55,2005000,2023-07-14
38.6,39.25,38.4,39.1,2409000,2023-07-17
39.3,39.35,38.2,38.2,3273000,2023-07-18
37.5,37.8,37.0,37.0,2277000,2023-07-19
37.35,37.6,37.1,37.5,1065000,2023-07-20
37.3,37.3,36.55,36.6,2314000,2023-07-21
36.35,36.35,35.6,35.6,2877000,2023-07-24
35.75,36.2,35.55,36.15,1235000,2023-07-25
36.3,36.65,35.9,36.15,1156000,2023-07-26
36.15,38.2,36.05,38.2,6308000,2023-07-27
38.2,38.35,37.35,37.8,6958000,2023-07-28
38.05,38.55,37.5,37.6,3538000,2023-07-31
38.0,38.1,37.45,37.7,1298000,2023-08-01
38.25,41.45,38.25,41.35,52377000,2023-08-02
38.0,39.0,37.25,37.25,21977000,2023-08-04
37.3,37.9,37.0,37.55,6173000,2023-08-07
37.6,37.8,37.2,37.75,2646000,2023-08-08
37.7,37.7,37.1,37.15,2062000,2023-08-09
37.2,37.65,37.0,37.1,2821000,2023-08-10
37.1,37.2,36.1,36.4,2698000,2023-08-11
36.4,36.4,35.0,35.0,3474000,2023-08-14
35.15,35.6,35.1,35.5,1316000,2023-08-15
35.2,35.35,34.55,35.15,971000,2023-08-16
35.2,36.0,34.85,35.9,860000,2023-08-17
38.4,38.4,35.55,35.6,3270000,2023-08-18
35.75,35.95,35.45,35.45,592000,2023-08-21
35.55,35.85,35.5,35.5,625000,2023-08-22
35.8,35.8,35.2,35.65,900000,2023-08-23
35.8,36.35,35.7,36.0,1422000,2023-08-24
35.75,36.65,35.6,36.3,1236000,2023-08-25
36.3,36.45,35.8,36.3,905000,2023-08-28
36.6,36.6,36.0,36.3,575000,2023-08-29
36.6,36.6,36.2,36.3,557000,2023-08-30
36.55,37.5,36.25,37.5,2780000,2023-08-31
37.05,37.45,36.9,37.25,1261000,2023-09-01
37.25,37.65,37.05,37.6,1869000,2023-09-04
37.65,37.7,37.35,37.65,839000,2023-09-05
37.7,37.7,37.15,37.15,724000,2023-09-06
37.15,37.55,37.1,37.2,806000,2023-09-07
37.2,37.2,36.75,37.0,943000,2023-09-08
37.5,37.5,36.65,36.9,853000,2023-09-11
37.0,37.4,37.0,37.2,669000,2023-09-12
37.15,37.6,37.15,37.6,1208000,2023-09-13
37.6,38.0,37.6,37.75,1365000,2023-09-14
37.75,38.0,37.45,37.75,1194000,2023-09-15
37.7,38.25,37.6,37.85,2069000,2023-09-18
38.2,38.25,37.65,37.65,1648000,2023-09-19
37.75,37.75,37.2,37.2,752000,2023-09-20
37.0,37.1,36.75,36.95,597000,2023-09-21
36.8,36.8,36.5,36.65,564000,2023-09-22
36.65,36.95,36.6,36.85,628000,2023-09-25
37.0,37.0,36.45,36.45,397000,2023-09-26
36.2,36.45,35.9,35.95,845000,2023-09-27
36.0,36.65,36.0,36.45,450000,2023-09-28
36.6,37.0,36.5,36.8,494000,2023-10-02
37.2,37.3,36.9,36.9,754000,2023-10-03
36.8,36.85,36.5,36.6,320000,2023-10-04
36.8,37.2,36.75,37.05,758000,2023-10-05
37.1,37.5,37.0,37.25,788000,2023-10-06
38.0,38.2,37.4,37.4,2390000,2023-10-11
37.7,38.15,37.5,38.05,2478000,2023-10-12
38.1,38.35,37.9,38.2,1643000,2023-10-13
38.8,39.25,38.4,38.4,4972000,2023-10-16
38.6,39.0,38.5,38.6,1875000,2023-10-17
39.0,39.1,38.05,38.05,2248000,2023-10-18
38.1,38.9,38.1,38.8,2169000,2023-10-19
39.0,40.35,38.2,39.65,13967000,2023-10-20
39.8,40.75,39.0,39.7,13138000,2023-10-23
40.0,40.0,39.1,39.2,3776000,2023-10-24
39.9,40.75,39.4,40.2,10770000,2023-10-25
39.9,40.4,39.55,40.0,4593000,2023-10-26
40.05,40.1,39.3,39.4,2923000,2023-10-27
39.8,40.95,39.45,40.8,8189000,2023-10-30
41.15,41.15,38.95,39.1,7163000,2023-10-31
39.35,39.5,38.7,39.25,1901000,2023-11-01
39.65,39.65,39.1,39.1,2175000,2023-11-02
39.5,39.65,39.05,39.45,2163000,2023-11-03
39.6,41.15,39.6,40.8,10616000,2023-11-06
40.65,40.65,39.85,40.05,3624000,2023-11-07
40.2,40.2,39.25,39.35,3784000,2023-11-08
39.2,39.3,38.8,39.05,1804000,2023-11-09
38.8,38.85,38.0,38.1,2812000,2023-11-10
38.55,38.75,38.2,38.4,1802000,2023-11-13
38.9,39.4,38.9,39.25,1780000,2023-11-14
39.6,39.7,39.25,39.4,1478000,2023-11-15
39.75,39.75,39.1,39.6,1037000,2023-11-16
39.75,40.3,39.7,40.05,2232000,2023-11-17
40.4,40.8,40.1,40.55,3684000,2023-11-20
40.9,40.9,40.5,40.5,2652000,2023-11-21
40.8,41.35,40.5,41.15,5427000,2023-11-22
41.35,42.2,40.85,40.85,5983000,2023-11-23
